id,City for Azimuth,location,hive,camera,month,day,year,hour,minute,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,,FSR,1,,,19,2016,,,11,31,Camera1_071916_11.31_for_60sec,,,1,1,4,8,1087,1120,1105.625,9.242,713,817,778.375,35.877,2.169,2.536,2.344,0.16,63,82,74.75,6.018,35.057,76.295,57.675,17.035,0,76.295,28.837,32.783,NA,NA,NA,NA,35.057,76.295,57.675,17.035,16.164,30.087,24.338,5.855,86.73,105.173,96.851,7.943,NA,NA,NA,NA,,,,,115.3,115.3,2.012364628,1
,,FSR,1,,,19,2016,,,11,31,Camera1_071916_11.31_for_60sec,,,2,2,4,8,1274,1338,1298.625,19.949,771,863,820.875,31.193,1.268,1.602,1.401,0.144,72,96,87.75,7.76,45.88,71.12,54.679,11.615,0,71.12,27.34,30.2,NA,NA,NA,NA,45.88,71.12,54.679,11.615,32.739,44.405,38.877,5.727,98.427,117.646,108.441,7.963,NA,NA,NA,NA,,,,,115.3,115.3,2.012364628,1
,,FSR,1,,,19,2016,,,11,31,Camera1_071916_11.31_for_60sec,,,3,3,4,8,904,973.333,943.833,25.522,418.667,497.333,464.833,31.114,1.568,3.003,2.486,0.631,78,129,96,15.946,26.466,69.768,56.96,20.456,0,69.768,28.48,33.261,NA,NA,NA,NA,26.466,69.768,56.96,20.456,16.876,24.628,22.275,3.65,94.764,130.914,114.706,14.921,NA,NA,NA,NA,,,,,115.3,115.3,2.012364628,1
,,FSR,1,,,19,2016,,,11,36,Camera1_071916_11.36_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.7,116.7,2.036799237,1
,,FSR,1,,,19,2016,,,11,41,Camera1_071916_11.41_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.2,118.2,2.062979176,1
,,FSR,1,,,19,2016,,,11,46,Camera1_071916_11.46_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8,119.8,2.090904444,1
,,FSR,1,,,19,2016,,,11,51,Camera1_071916_11.51_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4,121.4,2.118829712,1
,,FSR,1,,,19,2016,,,11,56,Camera1_071916_11.56_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1,123.1,2.148500309,1
,,FSR,1,,,19,2016,,,12,1,Camera1_071916_12.01_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.9,124.9,2.179916236,1
,,FSR,1,,,19,2016,,,12,6,Camera1_071916_12.06_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8,126.8,2.213077492,1
,,FSR,1,,,19,2016,,,12,11,Camera1_071916_12.11_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7,128.7,2.246238747,1
,,FSR,1,,,23,2016,,,12,14,Camera1_072316_12.14_for_60sec,,,1,1,4,8,1218.5,1289.833,1250.167,26.54,454.5,571.167,501.5,36.246,1.001,1.401,1.218,0.214,89,137,102.25,15.809,42.687,63.61,55.61,9.011,0,63.61,27.805,30.304,NA,NA,NA,NA,42.687,63.61,55.61,9.011,39.98,57.508,46.169,7.887,-76.608,-38.66,-55.234,16.097,NA,NA,NA,NA,,,,,130.9,130.9,2.284635991,1
,,FSR,1,,,23,2016,,,12,14,Camera1_072316_12.14_for_60sec,,,2,2,4,8,652.5,703.167,676.75,17.552,738.167,790.833,766.583,20.34,0.734,1.235,1.026,0.217,90,124,114.75,11.901,31.305,61.017,46.95,13.95,0,61.017,23.475,26.706,NA,NA,NA,NA,31.305,61.017,46.95,13.95,27.594,76.428,48.195,20.829,26.565,69.842,47.993,21.008,NA,NA,NA,NA,,,,,130.9,130.9,2.284635991,1
