City (for azimuth),hive,lat,lon,month,day,year,hour,min,hour,minute,segment,dance found?,segment start time,color,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,44,,,C12_062818_14.44_for_60sec,yes,14.44,grey brown,yes C12,2,2,4,8,404,548,475.5,48.568,728.667,812.667,761,30.941,0,0,0,0,42,217,74.375,57.97,53.93,71.678,62.417,7.269,0,71.678,31.209,33.701,NA,NA,NA,NA,53.93,71.678,62.417,7.269,NA,NA,NA,NA,-11.07,-4.97,-8.552,2.605,NA,NA,NA,NA,,78.93,85.03,81.448,,,81.448,1.421535769,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,44,,,C12_062818_14.44_for_60sec,yes,14.44,,no,3,3,7,14,428,636,516.857,82.582,643.333,782,707.524,41.268,0,0,0,0,40,86,55.643,12.188,40.552,65.347,53.576,10.197,0,65.347,26.788,28.649,NA,NA,NA,NA,40.552,65.347,53.576,10.197,NA,NA,NA,NA,46.332,88.831,71.751,13.253,NA,NA,NA,NA,,136.332,178.831,161.751,,,161.751,2.823087518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,,,90,1.570796327,1
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,12,,,C2_062518_14.36_for_60sec,yes,14.12,yellow,yes C2,1,1,4,8,432,493,459.125,21.788,617,674,650.25,19.009,1.368,1.735,1.535,0.157,31,48,36.5,5.632,35.384,62.482,45.642,12.222,0,62.482,22.821,25.675,NA,NA,NA,NA,35.384,62.482,45.642,12.222,24.101,36.011,29.62,6.34,35.362,50.194,43.75,6.374,NA,NA,NA,NA,,125.362,140.194,133.75,,,133.75,2.334377875,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,12,,,C2_062518_14.36_for_60sec,yes,14.12,,yes   ,2,2,4,8,411,495,461.625,27.974,668,772,731.25,34.878,0.767,2.035,1.468,0.526,38,56,46.25,6.882,33.422,77.078,56.3,18.298,0,77.078,28.15,32.39,NA,NA,NA,NA,33.422,77.078,56.3,18.298,35.758,43.55,39.003,3.292,38.928,72.255,52.552,14.424,NA,NA,NA,NA,,128.928,162.255,142.552,,,142.552,2.488001755,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,12,,,C2_062518_14.36_for_60sec,yes,14.12,,yes   ,3,3,5,10,485,662,564.7,54.616,559,675,626.6,34.261,1.168,1.368,1.275,0.09,37,69,58.3,9.286,42.802,59.363,48.629,7.094,0,59.363,24.314,26.062,NA,NA,NA,NA,42.802,59.363,48.629,7.094,34.67,43.393,38.037,3.408,13.241,63.435,45.961,19.737,NA,NA,NA,NA,,103.241,153.435,135.961,,,135.961,2.372967104,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,39,,,C3_062518_14.39_for_60sec,yes,14.39,grey brown,yes C3,1,1,6,12,312,358.667,331.556,12.793,634.667,824,706.667,52.256,1.068,1.802,1.524,0.274,34,69,51.417,10.202,41.074,60.809,51.313,8.467,0,60.809,25.656,27.398,NA,NA,NA,NA,41.074,60.809,51.313,8.467,26.192,55.453,34.937,10.725,54.246,90,73.37,13.001,NA,NA,NA,NA,,144.246,180,163.37,,,163.37,2.851344399,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,18,,,C4_062518_14.42_for_60sec,yes,14.18,grey brown,yes C4,1,1,8,15,387,923,477.933,125.835,591,825,643.467,55.604,0,1.902,1.339,0.569,45,75,54.933,8.388,0,49,35.809,15.076,0,49,19.098,21.344,NA,NA,NA,NA,34.525,49,40.924,4.573,22.494,30.361,26.905,2.86,73.686,112.62,91.395,16.169,NA,NA,NA,NA,,163.686,202.62,181.395,,,181.395,3.165939997,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,18,,,C4_062518_14.42_for_60sec,yes,14.18,,yes,2,2,4,8,372,526,439.5,55.493,350,902,689.917,220.902,0.734,1.468,1.176,0.335,34,64,48.125,10.535,36.715,61.391,49.393,10.313,0,61.391,24.697,27.251,NA,NA,NA,NA,36.715,61.391,49.393,10.313,37.385,50.016,42.992,5.235,75.256,119.358,91.21,20.249,NA,NA,NA,NA,,165.256,209.358,181.21,,,181.21,3.162711138,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,18,,,C4_062518_14.42_for_60sec,yes,14.18,,yes,3,3,5,10,501.167,552,531.433,18.31,913.5,952,936.633,12.766,0.534,0.934,0.747,0.145,27,48,34.8,6.546,15.902,35.559,26.265,8.859,0,35.559,13.132,15.05,NA,NA,NA,NA,15.902,35.559,26.265,8.859,26.447,43.458,34.538,6.711,-73.301,-8.973,-32.331,24.984,NA,NA,NA,NA,,16.699,81.027,57.669,,,57.669,1.006513926,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,20,,,C5_062518_14.46_for_60sec,yes,14.2,grey brown,yes C5,1,1,7,16,520,656,590.333,46.882,412.667,574,490.667,46.536,1.368,4.605,2.012,1.161,37,76,55.375,11.523,45.509,130.613,68.495,28.701,0,80.587,31.437,30.952,NA,NA,NA,NA,25.157,72.197,53.274,13.301,18.389,42.13,33.829,6.759,-122.005,94.399,59.269,68.784,-172.77,162.415,-5.177,237.012,,327.995,184.399,149.269,,,149.269,2.605235521,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,20,,,C5_062518_14.46_for_60sec,yes,14.2,,yes,2,2,7,14,349,692,498.643,114.997,680,881,779.429,66.413,0.467,1.368,1.02,0.333,26,52,38.429,8.437,27.785,53.339,40.824,8.09,0,53.339,20.412,21.884,NA,NA,NA,NA,27.785,53.339,40.824,8.09,29.566,59.48,42.984,11.781,23.629,81.469,53.506,18.338,NA,NA,NA,NA,,113.629,171.469,143.506,,,143.506,2.504652196,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,20,,,C5_062518_14.46_for_60sec,yes,14.2,,yes,3,3,3,6,1138.667,1177.333,1157.111,13.712,545.333,622.667,586,27.4,1.568,1.835,1.702,0.133,24,111,54,33.22,39.643,56.253,46.476,8.688,0,56.253,23.238,26.042,NA,NA,NA,NA,39.643,56.253,46.476,8.688,21.602,35.871,27.685,7.363,58.57,70.346,63.856,5.98,NA,NA,NA,NA,,148.57,160.346,153.856,,,153.856,2.685293774,
